title,imdb_id,tmdb_id,original_title,adult,belongs_to_collection,poster_path,budget,genres,homepage,overview,popularity,production_companies,production_countries,release_date,spoken_languages,status,vote_average,vote_count,movie_id,original_language
22 Bullets,tt1167638,37645.0,L'Immortel,False,,/wTYZjPq4YA2wC99MdHZTFQuxFpd.jpg,24000000.0,,http://www.22bullets.co.uk/,"Charly Mattei has turned his back on his life as an outlaw. For the last three years, he's led a peaceful life devoting himself to his wife and two children. Then, one winter morning, he's left for dead in the parking garage in Marseille's Old Port, with 22 bullets in his body. Against all the odds, he doesn't die...",6.69573,,,2010-03-23,,Released,6.4,285.0,22+bullets+2010,fr
2:22,tt1261041,25038.0,2:22,False,,/78A2buJ6C8vuJpD2cSCU8LA5jZH.jpg,0.0,,http://www.222themovie.com/cast2.htm,"The plan was easy; the job was not. On a snowy night a tight crew of four criminals plan to pull off a routine heist. When things go horribly wrong, friendship, loyalty and trust are pushed to the limit.",5.543966,,,2008-09-24,,Released,5.2,13.0,222+2008,en
2:37,tt0472582,2168.0,2:37,False,,/zNBjKJrbrhImgchpV9yPwOImgeR.jpg,850000.0,,,"A contemporary, ensemble drama telling the complex tale of six high school students whose lives are interwoven with situations that so many of today's youth are faced with. The story takes place during a normal school day. At precisely 2:37 a tragedy will occur, affecting the lives of a group of students and their teachers. As the story unfolds, the individual stories of the six teenagers are revealed, each with its own explosive significance. An unwanted pregnancy unravels a terrible, dark secret; all is not as it appears for the seemingly confident school football hero; an outcast must deal with everyday taunts from his peers; a beautiful young girl battles an eating disorder; a stellar student constantly struggles to win his parents' approval; while another uses drugs to escape from his own demons.",6.558245,,,2006-05-26,,Released,6.7,50.0,237+2006,en
24: Redemption,tt0813980,13989.0,24: Redemption,False,,/vvNVGdJV75Xfmyx7CSVxEhZW9Xy.jpg,0.0,,,"Former federal agent Jack Bauer confronts African dictator Benjamin Juma, whose forces have been ordered to capture the children Bauer oversees for malicious military training.",5.982091,,,2008-11-23,,Released,7.1,168.0,24+redemption+2008,en
247°F,tt1877543,137145.0,247°F,False,,/yNSE6aAS8pa2kzxDwCkpAIlNeQx.jpg,650000.0,,,"Four friends travel to a lakeside cabin for a carefree weekend, the fun turns into a nightmare when 3 of them end up locked in a hot sauna. Every minute counts and every degree matters as they fight for their lives in the heat up to 247°F.",7.427206,,,2011-09-01,,Released,5.2,46.0,247f+2011,pt
3° kälter,tt0435593,36229.0,3° kälter,False,,/6CA0YBcQkO580xuKCgf9sg7L7Ui.jpg,0.0,,,No overview found.,0.005145,,,2006-03-16,,Released,0.0,0.0,3+klter+2006,de
3-Iron,tt0423866,1280.0,??,False,,/hr8ghKbdo3UGUROYafpN38Sohfe.jpg,0.0,,,"A young man, whose only possession is a motorcycle, spends his time riding around the city looking for empty apartments. After finding one, he hangs out for a while, fixing himself something to eat, washing laundry or making small repairs in return. He always tries to leave before the owners get back but in one ostensibly empty mansion he meets the abused wife of a rich man and she escapes with him...",12.949881,,,2004-10-15,,Released,7.7,225.0,3-iron+2004,ko
300: Rise of an Empire,tt1253863,53182.0,300: Rise of an Empire,False,,/gWQf5j3ZqEfOdW2rIZnkuOOva78.jpg,110000000.0,,http://www.300themovie.com/,"Based on Frank Miller's latest graphic novel Xerxes and told in the breathtaking visual style of the blockbuster ""300,"" this new chapter of the epic saga takes the action to a fresh battlefield--on the sea--as Greek general Themistokles attempts to unite all of Greece by leading the charge that will change the course of the war. ""300: Rise of an Empire"" pits Themistokles against the massive invading Persian forces led by mortal-turned-god Xerxes and Artemesia, the vengeful commander of the Persian navy.",12.904677,,,2014-03-05,,Released,6.1,2438.0,300+rise+of+an+empire+2014,en
3:10 to Yuma,tt0050086,14168.0,3:10 to Yuma,False,,/nyyemW49MCCvxIvX1PslAgKnZmd.jpg,0.0,,,"Dave Evans, a small time farmer, is hired to escort Ben Wade, a dangerous outlaw, to Yuma. As Evans and Wade wait for the 3:10 train to Yuma, Wade's gang is racing to free him.",15.931069,,,1957-08-07,,Released,7.1,77.0,310+to+yuma+1957,en
3:10 to Yuma,tt0381849,5176.0,3:10 to Yuma,False,,/9Nwkh0eQmkymEOR0ovAALtjSIZW.jpg,55000000.0,,http://www.310toyumathefilm.com/,"In Arizona in the late 1800's, infamous outlaw Ben Wade and his vicious gang of thieves and murderers have plagued the Southern Railroad. When Wade is captured, Civil War veteran Dan Evans, struggling to survive on his drought-plagued ranch, volunteers to deliver him alive to the ""3:10 to Yuma"", a train that will take the killer to trial.",18.079094,,,2007-09-06,,Released,6.9,1210.0,310+to+yuma+2007,en
